bResult,blueTopChamp,blueJungleChamp,blueMiddleChamp,blueADCChamp,blueSupportChamp,redTopChamp,redJungleChamp,redMiddleChamp,redADCChamp,redSupportChamp,top,jungle,middle,adc,support
1,Kennen,LeeSin,Karthus,Graves,Leona,Lulu,Vi,Zed,Corki,Braum,Kennen_Lulu,LeeSin_Vi,Karthus_Zed,Graves_Corki,Leona_Braum
0,Kennen,JarvanIV,Zed,Kalista,Thresh,Rumble,Vi,Leblanc,Graves,Janna,Kennen_Rumble,JarvanIV_Vi,Zed_Leblanc,Kalista_Graves,Thresh_Janna
1,Lissandra,Sejuani,Kennen,Graves,Morgana,JarvanIV,RekSai,Ahri,Corki,Annie,Lissandra_JarvanIV,Sejuani_RekSai,Kennen_Ahri,Graves_Corki,Morgana_Annie
1,Rumble,Nidalee,Lissandra,Sivir,Annie,Gragas,RekSai,Orianna,Lucian,Janna,Rumble_Gragas,Nidalee_RekSai,Lissandra_Orianna,Sivir_Lucian,Annie_Janna
0,Kennen,JarvanIV,Lulu,Jinx,Braum,Maokai,Vi,Karthus,Graves,Leona,Kennen_Maokai,JarvanIV_Vi,Lulu_Karthus,Jinx_Graves,Braum_Leona
1,Rumble,RekSai,Leblanc,Graves,Thresh,Maokai,JarvanIV,Viktor,Corki,Leona,Rumble_Maokai,RekSai_JarvanIV,Leblanc_Viktor,Graves_Corki,Thresh_Leona
1,Kennen,Vi,Zed,Kalista,Thresh,Irelia,LeeSin,Ahri,Graves,Janna,Kennen_Irelia,Vi_LeeSin,Zed_Ahri,Kalista_Graves,Thresh_Janna
0,Irelia,Gragas,Chogath,Lucian,Leona,Rumble,Nidalee,Yasuo,Graves,Janna,Irelia_Rumble,Gragas_Nidalee,Chogath_Yasuo,Lucian_Graves,Leona_Janna
0,DrMundo,RekSai,Cassiopeia,Kalista,Janna,Maokai,Vi,Lissandra,Lucian,Nautilus,DrMundo_Maokai,RekSai_Vi,Cassiopeia_Lissandra,Kalista_Lucian,Janna_Nautilus
0,DrMundo,RekSai,Zed,Lucian,Lulu,Maokai,Nunu,Urgot,Corki,Thresh,DrMundo_Maokai,RekSai_Nunu,Zed_Urgot,Lucian_Corki,Lulu_Thresh
1,Sion,Vi,Ahri,Kalista,Thresh,Hecarim,Zac,Leblanc,Tristana,Janna,Sion_Hecarim,Vi_Zac,Ahri_Leblanc,Kalista_Tristana,Thresh_Janna
0,Lulu,Sejuani,Karthus,Lucian,Janna,Gragas,Vi,Orianna,Graves,Morgana,Lulu_Gragas,Sejuani_Vi,Karthus_Orianna,Lucian_Graves,Janna_Morgana
0,Sion,Zac,Xerath,Tristana,Janna,Hecarim,Sejuani,Fizz,Sivir,Morgana,Sion_Hecarim,Zac_Sejuani,Xerath_Fizz,Tristana_Sivir,Janna_Morgana
1,Lulu,Sejuani,Zed,Corki,Thresh,Kennen,RekSai,Ahri,Jinx,Janna,Lulu_Kennen,Sejuani_RekSai,Zed_Ahri,Corki_Jinx,Thresh_Janna
1,Vladimir,Sejuani,Lulu,Graves,Thresh,Maokai,Nunu,Corki,Lucian,Nautilus,Vladimir_Maokai,Sejuani_Nunu,Lulu_Corki,Graves_Lucian,Thresh_Nautilus
1,Hecarim,Nidalee,Yasuo,Graves,Thresh,Lulu,Nunu,Zed,Twitch,Janna,Hecarim_Lulu,Nidalee_Nunu,Yasuo_Zed,Graves_Twitch,Thresh_Janna
0,Lissandra,Gragas,Yasuo,KogMaw,Alistar,Lulu,Nunu,Ahri,Vayne,Janna,Lissandra_Lulu,Gragas_Nunu,Yasuo_Ahri,KogMaw_Vayne,Alistar_Janna
0,Irelia,Nunu,Rumble,Caitlyn,Morgana,Kennen,Sejuani,Zed,Lucian,Nautilus,Irelia_Kennen,Nunu_Sejuani,Rumble_Zed,Caitlyn_Lucian,Morgana_Nautilus
0,Maokai,RekSai,Orianna,Graves,Thresh,Rumble,Sejuani,Corki,Sivir,Lulu,Maokai_Rumble,RekSai_Sejuani,Orianna_Corki,Graves_Sivir,Thresh_Lulu
1,Sion,Nidalee,Ezreal,Caitlyn,Nautilus,Renekton,RekSai,Vladimir,Graves,Annie,Sion_Renekton,Nidalee_RekSai,Ezreal_Vladimir,Caitlyn_Graves,Nautilus_Annie
0,Sion,RekSai,Cassiopeia,Twitch,Nautilus,Lulu,Nidalee,Urgot,KogMaw,Janna,Sion_Lulu,RekSai_Nidalee,Cassiopeia_Urgot,Twitch_KogMaw,Nautilus_Janna
0,Rumble,RekSai,Leblanc,Graves,Janna,Sion,Zac,Katarina,Lucian,Annie,Rumble_Sion,RekSai_Zac,Leblanc_Katarina,Graves_Lucian,Janna_Annie
1,Sion,LeeSin,Chogath,Sivir,Lulu,Lissandra,Gragas,Urgot,Varus,Janna,Sion_Lissandra,LeeSin_Gragas,Chogath_Urgot,Sivir_Varus,Lulu_Janna
1,Maokai,Vi,Lissandra,Lucian,Nautilus,Kennen,RekSai,Chogath,Graves,Leona,Maokai_Kennen,Vi_RekSai,Lissandra_Chogath,Lucian_Graves,Nautilus_Leona
0,Kennen,Zac,Diana,Sivir,Thresh,Hecarim,Sejuani,Lissandra,Kalista,Annie,Kennen_Hecarim,Zac_Sejuani,Diana_Lissandra,Sivir_Kalista,Thresh_Annie
1,Rumble,Nunu,Vladimir,Graves,Thresh,Gragas,RekSai,Lissandra,Sivir,Morgana,Rumble_Gragas,Nunu_RekSai,Vladimir_Lissandra,Graves_Sivir,Thresh_Morgana
0,Jax,RekSai,Lulu,Kalista,Alistar,Rumble,Vi,Corki,Graves,Leona,Jax_Rumble,RekSai_Vi,Lulu_Corki,Kalista_Graves,Alistar_Leona
0,Hecarim,RekSai,Lissandra,Corki,Thresh,Lulu,Sejuani,Zed,Lucian,Janna,Hecarim_Lulu,RekSai_Sejuani,Lissandra_Zed,Corki_Lucian,Thresh_Janna
1,Maokai,Zac,JarvanIV,Draven,Morgana,Hecarim,Vi,Lissandra,Vayne,Alistar,Maokai_Hecarim,Zac_Vi,JarvanIV_Lissandra,Draven_Vayne,Morgana_Alistar
1,Rumble,Gragas,KogMaw,Sivir,Nautilus,Maokai,RekSai,Viktor,Urgot,Thresh,Rumble_Maokai,Gragas_RekSai,KogMaw_Viktor,Sivir_Urgot,Nautilus_Thresh
0,Rumble,RekSai,Azir,Corki,Thresh,Gnar,Gragas,Cassiopeia,Kalista,Annie,Rumble_Gnar,RekSai_Gragas,Azir_Cassiopeia,Corki_Kalista,Thresh_Annie
1,Maokai,LeeSin,KogMaw,Ashe,Alistar,Hecarim,Sejuani,Azir,Kalista,Annie,Maokai_Hecarim,LeeSin_Sejuani,KogMaw_Azir,Ashe_Kalista,Alistar_Annie
0,Gnar,RekSai,Ziggs,Urgot,Thresh,Yasuo,Evelynn,Fizz,Sivir,Alistar,Gnar_Yasuo,RekSai_Evelynn,Ziggs_Fizz,Urgot_Sivir,Thresh_Alistar
0,Hecarim,Nunu,Fizz,Sivir,Thresh,Rumble,Sejuani,Kassadin,Vayne,Nautilus,Hecarim_Rumble,Nunu_Sejuani,Fizz_Kassadin,Sivir_Vayne,Thresh_Nautilus
1,Rumble,Nunu,Cassiopeia,Sivir,Thresh,Irelia,Sejuani,Vladimir,Graves,Nautilus,Rumble_Irelia,Nunu_Sejuani,Cassiopeia_Vladimir,Sivir_Graves,Thresh_Nautilus
1,Gnar,Zac,Vladimir,Kalista,Nautilus,Maokai,RekSai,KogMaw,Ashe,Thresh,Gnar_Maokai,Zac_RekSai,Vladimir_KogMaw,Kalista_Ashe,Nautilus_Thresh
0,Hecarim,Evelynn,Leblanc,Sivir,Alistar,Gnar,Sejuani,Azir,Kalista,Thresh,Hecarim_Gnar,Evelynn_Sejuani,Leblanc_Azir,Sivir_Kalista,Alistar_Thresh
1,Rumble,Sejuani,Viktor,Sivir,Alistar,Hecarim,Evelynn,Kassadin,Kalista,Morgana,Rumble_Hecarim,Sejuani_Evelynn,Viktor_Kassadin,Sivir_Kalista,Alistar_Morgana
0,Vladimir,Gragas,Viktor,Lucian,Thresh,Hecarim,LeeSin,Malphite,Jinx,Alistar,Vladimir_Hecarim,Gragas_LeeSin,Viktor_Malphite,Lucian_Jinx,Thresh_Alistar
0,Irelia,Gragas,Varus,Corki,Nautilus,Ryze,RekSai,Azir,Kalista,Thresh,Irelia_Ryze,Gragas_RekSai,Varus_Azir,Corki_Kalista,Nautilus_Thresh
0,Ryze,Sejuani,Viktor,Ezreal,Nautilus,Maokai,RekSai,TwistedFate,Sivir,Thresh,Ryze_Maokai,Sejuani_RekSai,Viktor_TwistedFate,Ezreal_Sivir,Nautilus_Thresh
1,Gnar,RekSai,Leblanc,Vayne,Annie,Rumble,LeeSin,Azir,Sivir,Thresh,Gnar_Rumble,RekSai_LeeSin,Leblanc_Azir,Vayne_Sivir,Annie_Thresh
0,Maokai,Sejuani,Ziggs,Kalista,Nautilus,Rumble,RekSai,Varus,Sivir,Thresh,Maokai_Rumble,Sejuani_RekSai,Ziggs_Varus,Kalista_Sivir,Nautilus_Thresh
1,Ryze,Zac,Azir,Kalista,Morgana,Irelia,Gragas,Varus,Corki,Nautilus,Ryze_Irelia,Zac_Gragas,Azir_Varus,Kalista_Corki,Morgana_Nautilus
0,Maokai,Gragas,Azir,Lucian,Nautilus,Rumble,Sejuani,Leblanc,Sivir,Janna,Maokai_Rumble,Gragas_Sejuani,Azir_Leblanc,Lucian_Sivir,Nautilus_Janna
0,Maokai,RekSai,Cassiopeia,Vayne,Janna,Ryze,JarvanIV,Urgot,Sivir,Alistar,Maokai_Ryze,RekSai_JarvanIV,Cassiopeia_Urgot,Vayne_Sivir,Janna_Alistar
0,Maokai,LeeSin,Azir,Kalista,Nautilus,Gnar,RekSai,Leblanc,Sivir,Bard,Maokai_Gnar,LeeSin_RekSai,Azir_Leblanc,Kalista_Sivir,Nautilus_Bard
0,Rumble,Sejuani,Orianna,Ashe,Thresh,Irelia,Gragas,Leblanc,Kalista,Bard,Rumble_Irelia,Sejuani_Gragas,Orianna_Leblanc,Ashe_Kalista,Thresh_Bard
0,Rumble,RekSai,Azir,Sivir,Nautilus,Gnar,Zac,KogMaw,Ezreal,Thresh,Rumble_Gnar,RekSai_Zac,Azir_KogMaw,Sivir_Ezreal,Nautilus_Thresh
0,Gnar,RekSai,Ekko,Sivir,Janna,Hecarim,Nunu,Azir,Jinx,Thresh,Gnar_Hecarim,RekSai_Nunu,Ekko_Azir,Sivir_Jinx,Janna_Thresh
0,Hecarim,Gragas,Ekko,Kalista,Bard,Fizz,RekSai,KogMaw,Sivir,Morgana,Hecarim_Fizz,Gragas_RekSai,Ekko_KogMaw,Kalista_Sivir,Bard_Morgana
1,Hecarim,Ekko,Leblanc,Corki,Alistar,Fizz,Nunu,Azir,Lucian,Nautilus,Hecarim_Fizz,Ekko_Nunu,Leblanc_Azir,Corki_Lucian,Alistar_Nautilus
1,Maokai,LeeSin,Leblanc,Sivir,Alistar,DrMundo,Nidalee,Viktor,Lucian,Janna,Maokai_DrMundo,LeeSin_Nidalee,Leblanc_Viktor,Sivir_Lucian,Alistar_Janna
0,Hecarim,JarvanIV,Rumble,Sivir,Alistar,Ekko,Gragas,Lulu,Ashe,Bard,Hecarim_Ekko,JarvanIV_Gragas,Rumble_Lulu,Sivir_Ashe,Alistar_Bard
1,Maokai,Gragas,Varus,Jinx,Karma,Fizz,Nunu,Azir,Corki,Alistar,Maokai_Fizz,Gragas_Nunu,Varus_Azir,Jinx_Corki,Karma_Alistar
1,Rumble,RekSai,Ekko,Kalista,Annie,Vladimir,Gragas,Yasuo,Corki,Malphite,Rumble_Vladimir,RekSai_Gragas,Ekko_Yasuo,Kalista_Corki,Annie_Malphite
0,Rumble,LeeSin,Kassadin,Kalista,Annie,Hecarim,Sejuani,Leblanc,Tristana,Nautilus,Rumble_Hecarim,LeeSin_Sejuani,Kassadin_Leblanc,Kalista_Tristana,Annie_Nautilus
0,Maokai,RekSai,Azir,Kalista,Annie,Rumble,Gragas,JarvanIV,Tristana,Nautilus,Maokai_Rumble,RekSai_Gragas,Azir_JarvanIV,Kalista_Tristana,Annie_Nautilus
1,Gnar,Nunu,Azir,Sivir,Bard,Hecarim,RekSai,Xerath,Vayne,Janna,Gnar_Hecarim,Nunu_RekSai,Azir_Xerath,Sivir_Vayne,Bard_Janna
1,Hecarim,XinZhao,TwistedFate,Corki,Alistar,Ekko,RekSai,Varus,Graves,Janna,Hecarim_Ekko,XinZhao_RekSai,TwistedFate_Varus,Corki_Graves,Alistar_Janna
0,Rumble,RekSai,Azir,Corki,Nautilus,Gnar,Gragas,KogMaw,Kalista,Alistar,Rumble_Gnar,RekSai_Gragas,Azir_KogMaw,Corki_Kalista,Nautilus_Alistar
0,Rumble,Sejuani,Jayce,Kalista,Annie,Gnar,RekSai,Azir,Corki,Alistar,Rumble_Gnar,Sejuani_RekSai,Jayce_Azir,Kalista_Corki,Annie_Alistar
1,Ekko,RekSai,Urgot,Vayne,Thresh,Hecarim,Gragas,Viktor,Sivir,Nautilus,Ekko_Hecarim,RekSai_Gragas,Urgot_Viktor,Vayne_Sivir,Thresh_Nautilus
1,Rumble,Sejuani,Jayce,Jinx,Annie,Maokai,Nidalee,Azir,Sivir,Thresh,Rumble_Maokai,Sejuani_Nidalee,Jayce_Azir,Jinx_Sivir,Annie_Thresh
1,Rumble,Gragas,Varus,Kalista,Thresh,Irelia,Evelynn,Azir,Corki,Alistar,Rumble_Irelia,Gragas_Evelynn,Varus_Azir,Kalista_Corki,Thresh_Alistar
0,Rumble,XinZhao,Urgot,Tristana,Thresh,Gnar,RekSai,Azir,Kalista,Annie,Rumble_Gnar,XinZhao_RekSai,Urgot_Azir,Tristana_Kalista,Thresh_Annie
1,Gnar,RekSai,KogMaw,Ashe,Alistar,Fizz,Ekko,Azir,Sivir,Nautilus,Gnar_Fizz,RekSai_Ekko,KogMaw_Azir,Ashe_Sivir,Alistar_Nautilus
0,Hecarim,RekSai,Nidalee,Kalista,Thresh,Rumble,Gragas,Yasuo,Corki,Nautilus,Hecarim_Rumble,RekSai_Gragas,Nidalee_Yasuo,Kalista_Corki,Thresh_Nautilus
0,Rumble,Sejuani,Jayce,Kalista,Thresh,JarvanIV,RekSai,Lulu,Corki,Nautilus,Rumble_JarvanIV,Sejuani_RekSai,Jayce_Lulu,Kalista_Corki,Thresh_Nautilus
0,Maokai,Nocturne,Kassadin,Sivir,Nautilus,Rumble,Evelynn,Hecarim,Jinx,Thresh,Maokai_Rumble,Nocturne_Evelynn,Kassadin_Hecarim,Sivir_Jinx,Nautilus_Thresh
1,Sion,Ekko,Azir,Sivir,Annie,Gnar,Evelynn,TwistedFate,Ashe,Bard,Sion_Gnar,Ekko_Evelynn,Azir_TwistedFate,Sivir_Ashe,Annie_Bard
